transaction_id,order_date,shop_id,product_name,categoty,qty,price
112705,20-06-2019 10:51,3,Nike_signal,sneakers,1,8990
92271,03-06-2019 17:01,3,Reebok_classic_leather_redux,sneakers,1,5590
102778,13-06-2019 14:06,3,Vans_old_skool_neon,sneakers,1,6390
104264,14-06-2019 14:22,3,Reebok_classic_leather,sneakers,1,7690
107840,26-06-2019 21:10,3,Adidas_originals_ozweego,sneakers,1,6290
119540,08-06-2019 11:37,7,Adidas_ultra_boost,sneakers,1,11990
93465,02-06-2019 21:06,7,Adidas_nmd,sneakers,1,14450
102281,14-06-2019 11:50,6,Reebok_classic_leather_redux,sneakers,1,5590
119381,19-06-2019 13:04,4,Adidas_yeezy,sneakers,1,13490
107369,30-06-2019 10:34,2,Reebok_classic_leather_redux,sneakers,1,5590
97398,13-06-2019 12:25,4,Reebok_classic_leather_redux,sneakers,1,5590
109150,10-06-2019 16:35,6,Adidas_originals_ozweego,sneakers,1,6290
100472,03-06-2019 08:33,6,Reebok_classic_daytona,sneakers,1,6990
82782,18-06-2019 16:48,7,Nike_signal,sneakers,1,8990
95284,08-06-2019 13:22,7,Adidas_ultra_boost,sneakers,1,11990
115889,27-06-2019 18:59,3,Reebok_classic_daytona,sneakers,1,6990
109263,04-06-2019 13:55,4,Reebok_classic_leather_redux,sneakers,1,5590
89327,13-06-2019 11:34,2,Adidas_nmd,sneakers,1,14450
111141,12-06-2019 19:00,4,Adidas_gazelle,sneakers,1,6990
94280,22-06-2019 11:19,7,Reebok_classic_leather,sneakers,1,7690
92176,12-06-2019 14:18,7,Nike_signal,sneakers,1,8990
100949,13-06-2019 13:17,6,Nike_zoom_2k,sneakers,1,7490
111287,15-06-2019 15:24,7,Nike_signal,sneakers,1,8990
103496,28-06-2019 09:20,7,Reebok_classic_instapump_fury,sneakers,1,9790
112564,24-06-2019 10:09,4,Adidas_nmd,sneakers,1,14450
94940,24-06-2019 15:52,6,Nike_signal,sneakers,1,8990
108396,02-06-2019 10:37,4,Reebok_classic_leather,sneakers,1,7690
86226,09-06-2019 14:37,6,Reebok_classic_leather,sneakers,1,7690
80381,18-06-2019 11:37,7,Adidas_ultra_boost,sneakers,1,11990
89749,06-06-2019 09:02,2,Nike_budget_shirt,shirts,1,999
100395,18-06-2019 18:00,6,Adidas_best_ever_shirt,shirts,1,4990
103770,12-06-2019 11:57,6,Nike_signal,sneakers,1,8990
94840,01-06-2019 10:12,2,Reebok_classic_ripple,sneakers,1,5590
97505,11-06-2019 12:36,2,Nike_best_shirt_possible_ever,shirts,1,1790
99086,22-06-2019 08:32,7,Adidas_gazelle,sneakers,1,6990
95714,04-06-2019 11:01,7,Reebok_classic_leather_redux,sneakers,1,5590
90967,26-06-2019 14:26,4,Reebok_classic_daytona,sneakers,1,6990
100326,13-06-2019 13:13,6,Reebok_classic_daytona,sneakers,1,6990
110633,04-06-2019 10:59,7,Nike_signal,sneakers,1,8990
92971,25-06-2019 14:00,3,Reebok_classic_leather,sneakers,1,7690
105872,01-06-2019 10:03,3,Adidas_yeezy,sneakers,1,13490
93085,04-06-2019 12:36,2,Reebok_classic_ripple,sneakers,1,5590
99186,05-06-2019 20:52,6,Nike_signal,sneakers,1,8990
96588,10-06-2019 21:47,7,Adidas_yeezy,sneakers,1,13490
108722,24-06-2019 11:29,2,Nike_signal,sneakers,1,8990
115999,28-06-2019 14:46,5,Adidas_nmd,sneakers,1,14450
110248,22-06-2019 18:14,3,Nike_budget_shirt,shirts,1,999
111067,25-06-2019 06:52,2,Nike_signal,sneakers,1,8990
109559,01-06-2019 16:38,5,Nike_air_max_90,sneakers,1,11500
80394,18-06-2019 20:51,1,Adidas_ultra_boost,sneakers,1,11990
115298,12-06-2019 12:29,2,Nike_signal,sneakers,1,8990
91588,07-06-2019 08:56,3,Adidas_best_ever_shirt,shirts,1,4990
96787,29-06-2019 17:03,6,Reebok_classic_leather_redux,sneakers,1,5590
84603,16-06-2019 15:01,2,Adidas_yeezy,sneakers,1,13490
85302,19-06-2019 11:43,2,Adidas_best_ever_shirt,shirts,1,4990
109265,06-06-2019 11:12,1,Nike_air_force,sneakers,1,8990
102847,02-06-2019 12:47,7,Nike_signal,sneakers,1,8990
114438,22-06-2019 14:36,7,Nike_air_max_90,sneakers,1,11500
96645,29-06-2019 14:56,7,Nike_signal,sneakers,1,8990
117560,16-06-2019 15:10,2,Vans_old_skool_neon,sneakers,1,6390
84945,25-06-2019 15:15,3,Reebok_classic_leather,sneakers,1,7690
96898,08-06-2019 10:23,7,Reebok_classic_leather_redux,sneakers,1,5590
102275,22-06-2019 14:54,3,Reebok_classic_leather,sneakers,1,7690
89119,05-06-2019 12:23,2,Nike_zoom_2k,sneakers,1,7490
97082,16-06-2019 11:19,7,Adidas_originals_ozweego,sneakers,1,6290
106656,01-06-2019 13:10,2,Vans_era_neon,sneakers,1,5990
101833,29-06-2019 14:18,3,Reebok_classic_leather_redux,sneakers,1,5590
91464,30-06-2019 11:59,3,Adidas_yeezy,sneakers,1,13490
112820,09-06-2019 15:50,7,Reebok_classic_ripple,sneakers,1,5590
111395,15-06-2019 14:38,5,Reebok_classic_ripple,sneakers,1,5590
103963,23-06-2019 11:59,2,Reebok_classic_leather_redux,sneakers,1,5590
98362,11-06-2019 09:13,6,Adidas_yeezy,sneakers,1,13490
96124,26-06-2019 11:52,4,Adidas_ultra_boost,sneakers,1,11990
98209,17-06-2019 09:49,2,Reebok_classic_leather_redux,sneakers,1,5590
93355,10-06-2019 08:09,5,Adidas_originals_ozweego,sneakers,1,6290
96681,16-06-2019 12:06,1,Reebok_classic_leather_redux,sneakers,1,5590
74497,12-06-2019 14:31,7,Adidas_yeezy,sneakers,1,13490
106759,15-06-2019 15:39,6,Reebok_classic_instapump_fury,sneakers,1,9790
100376,08-06-2019 17:59,7,Vans_era_neon,sneakers,1,5990
107464,24-06-2019 10:01,1,Nike_signal,sneakers,1,8990
79103,05-06-2019 13:14,3,Vans_old_skool_neon,sneakers,1,6390
98568,26-06-2019 12:21,2,Reebok_classic_ripple,sneakers,1,5590
91641,27-06-2019 18:36,6,Reebok_classic_leather,sneakers,1,7690
114993,17-06-2019 16:05,4,Nike_signal,sneakers,1,8990
98168,25-06-2019 07:35,6,Adidas_originals_ozweego,sneakers,1,6290
87931,13-06-2019 14:40,2,Adidas_best_ever_shirt,shirts,1,4990
119221,20-06-2019 14:48,4,Adidas_nmd,sneakers,1,14450
121906,04-06-2019 14:43,6,Adidas_samba,sneakers,1,5990
94111,18-06-2019 19:50,7,Reebok_classic_ripple,sneakers,1,5590
99213,16-06-2019 14:00,4,Adidas_ultra_boost,sneakers,1,11990
86494,23-06-2019 10:42,4,Adidas_originals_ozweego,sneakers,1,6290
90607,14-06-2019 12:32,2,Vans_era_neon,sneakers,1,5990
90922,18-06-2019 18:23,7,Adidas_yeezy,sneakers,1,13490
104473,19-06-2019 13:43,2,Reebok_classic_instapump_fury,sneakers,1,9790
100670,11-06-2019 12:07,2,Adidas_yeezy,sneakers,1,13490
101648,02-06-2019 16:19,7,Adidas_yeezy,sneakers,1,13490
102901,05-06-2019 12:43,5,Reebok_classic_leather,sneakers,1,7690
113155,22-06-2019 07:51,7,Adidas_nmd,sneakers,1,14450
101658,02-06-2019 17:30,7,Nike_signal,sneakers,1,8990
94840,20-06-2019 14:31,7,Reebok_classic_instapump_fury,sneakers,1,9790
94703,16-06-2019 13:30,4,Nike_signal,sneakers,1,8990
108848,25-06-2019 09:58,7,Nike_air_max_90,sneakers,1,11500
104241,23-06-2019 12:31,7,Adidas_samba,sneakers,1,5990
100856,21-06-2019 15:17,2,Reebok_classic_leather,sneakers,1,7690
88244,05-06-2019 06:29,6,Adidas_originals_ozweego,sneakers,1,6290
111934,15-06-2019 17:33,3,Adidas_nmd,sneakers,1,14450
114014,02-06-2019 16:27,7,Reebok_classic_instapump_fury,sneakers,1,9790
105250,19-06-2019 07:18,5,Nike_air_max_90,sneakers,1,11500
124030,05-06-2019 14:52,2,Reebok_classic_leather_redux,sneakers,1,5590
96230,12-06-2019 13:45,2,Reebok_classic_instapump_fury,sneakers,1,9790
98854,04-06-2019 16:03,7,Reebok_classic_ripple,sneakers,1,5590
99155,09-06-2019 13:47,6,Reebok_classic_ripple,sneakers,1,5590
114523,17-06-2019 13:10,5,Reebok_classic_leather_redux,sneakers,1,5590
94853,10-06-2019 14:05,5,Adidas_originals_ozweego,sneakers,1,6290
124706,17-06-2019 21:32,3,Reebok_classic_leather,sneakers,1,7690
113769,24-06-2019 17:13,5,Adidas_gazelle,sneakers,1,6990
115647,26-06-2019 16:35,3,Reebok_classic_ripple,sneakers,1,5590
98565,24-06-2019 09:51,2,Reebok_classic_leather_redux,sneakers,1,5590
104738,01-06-2019 12:41,7,Reebok_classic_leather,sneakers,1,7690
82253,20-06-2019 14:16,7,Adidas_yeezy,sneakers,1,13490
109808,19-06-2019 14:26,3,Reebok_classic_leather,sneakers,1,7690
96156,04-06-2019 13:52,7,Adidas_nmd,sneakers,1,14450
